IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_AMR_GLASS_AWARE,RATE_PER_100_N
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,466,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Mali,ACCESS,56.5087
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,470,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Malta,ACCESS,49.509
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,499,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Montenegro,ACCESS,58.871
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,524,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Nepal,ACCESS,31.946
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,578,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Norway,ACCESS,79.5288
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,616,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Poland,ACCESS,59.6171
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,620,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Portugal,ACCESS,63.1045
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2017,YEAR,626,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Timor-Leste,ACCESS,87.5782
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,710,COUNTRY,PUBLISHED,Antibiotic consumption pattern,South Africa,ACCESS,86.2582
19E688DGLASSAMC_AWARE,GLASSAMC_AWARE,19E688D,GLASSAMC_AWARE,2020,YEAR,724,COUNTRY,PUBLISHED,Antibiotic consumption pattern,Spain,ACCESS,62.1333
