IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,300,COUNTRY,PUBLISHED,MRSA infections,Greece,36.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,356,COUNTRY,PUBLISHED,MRSA infections,India,63.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,360,COUNTRY,PUBLISHED,MRSA infections,Indonesia,52.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,364,COUNTRY,PUBLISHED,MRSA infections,Iran (Islamic Republic of),38.5
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,372,COUNTRY,PUBLISHED,MRSA infections,Ireland,12.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,380,COUNTRY,PUBLISHED,MRSA infections,Italy,34.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,392,COUNTRY,PUBLISHED,MRSA infections,Japan,40.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,400,COUNTRY,PUBLISHED,MRSA infections,Jordan,47.9
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,410,COUNTRY,PUBLISHED,MRSA infections,Republic of Korea,47.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,418,COUNTRY,PUBLISHED,MRSA infections,Lao People's Democratic Republic,11.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,422,COUNTRY,PUBLISHED,MRSA infections,Lebanon,20.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,428,COUNTRY,PUBLISHED,MRSA infections,Latvia,5.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,440,COUNTRY,PUBLISHED,MRSA infections,Lithuania,8.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,442,COUNTRY,PUBLISHED,MRSA infections,Luxembourg,7.7
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,450,COUNTRY,PUBLISHED,MRSA infections,Madagascar,18.8
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,458,COUNTRY,PUBLISHED,MRSA infections,Malaysia,23.1
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,466,COUNTRY,PUBLISHED,MRSA infections,Mali,0.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,470,COUNTRY,PUBLISHED,MRSA infections,Malta,36.4
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,508,COUNTRY,PUBLISHED,MRSA infections,Mozambique,20.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,512,COUNTRY,PUBLISHED,MRSA infections,Oman,50.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2018,YEAR,524,COUNTRY,PUBLISHED,MRSA infections,Nepal,55.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,001,GLOBAL,PUBLISHED,MRSA infections,World,20.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,070,COUNTRY,PUBLISHED,MRSA infections,Bosnia and Herzegovina,18.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,246,COUNTRY,PUBLISHED,MRSA infections,Finland,2.2
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,276,COUNTRY,PUBLISHED,MRSA infections,Germany,10.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,410,COUNTRY,PUBLISHED,MRSA infections,Republic of Korea,53.3
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,428,COUNTRY,PUBLISHED,MRSA infections,Latvia,2.0
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,440,COUNTRY,PUBLISHED,MRSA infections,Lithuania,11.6
5DD9606AMR_INFECT_MRSA,AMR_INFECT_MRSA,5DD9606,AMR_INFECT_MRSA,2016,YEAR,454,COUNTRY,PUBLISHED,MRSA infections,Malawi,82.0
