IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,RATE_PER_100_N
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,203,COUNTRY,PUBLISHED,E.coli infections,Czechia,14.2
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,246,COUNTRY,PUBLISHED,E.coli infections,Finland,6.14
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,250,COUNTRY,PUBLISHED,E.coli infections,France,10.22
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,268,COUNTRY,PUBLISHED,E.coli infections,Georgia,47.06
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,276,COUNTRY,PUBLISHED,E.coli infections,Germany,12.28
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,300,COUNTRY,PUBLISHED,E.coli infections,Greece,18.3
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,356,COUNTRY,PUBLISHED,E.coli infections,India,75.11
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,364,COUNTRY,PUBLISHED,E.coli infections,Iran (Islamic Republic of),90.0
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,372,COUNTRY,PUBLISHED,E.coli infections,Ireland,11.98
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,392,COUNTRY,PUBLISHED,E.coli infections,Japan,19.62
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,410,COUNTRY,PUBLISHED,E.coli infections,Republic of Korea,32.39
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,418,COUNTRY,PUBLISHED,E.coli infections,Lao People's Democratic Republic,45.28
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,422,COUNTRY,PUBLISHED,E.coli infections,Lebanon,46.15
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,428,COUNTRY,PUBLISHED,E.coli infections,Latvia,18.02
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,440,COUNTRY,PUBLISHED,E.coli infections,Lithuania,12.5
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,454,COUNTRY,PUBLISHED,E.coli infections,Malawi,71.91
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,458,COUNTRY,PUBLISHED,E.coli infections,Malaysia,27.37
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,470,COUNTRY,PUBLISHED,E.coli infections,Malta,15.89
745F475AMR_INFECT_ECOLI,AMR_INFECT_ECOLI,745F475,AMR_INFECT_ECOLI,2017,YEAR,512,COUNTRY,PUBLISHED,E.coli infections,Oman,49.48
